TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
20180312T004143,20180312T000000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T010000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T020000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T030000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T040000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T050000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T060000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T070000,0,inf,0.0,-6291.96152423,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T080000,0,inf,0.0,-6270.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T090000,0,inf,0.0,-6240.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T100000,0,inf,0.0,-6210.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T110000,0,inf,0.0,-6188.03847577,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T120000,0,inf,0.0,-6180.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T130000,0,inf,0.0,-6188.03847577,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T140000,0,inf,0.0,-6210.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T150000,0,inf,0.0,-6240.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T160000,0,inf,0.0,-6270.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T170000,0,inf,0.0,-6291.96152423,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T180000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T190000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T200000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T210000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T220000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180312T230000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
20180312T004143,20180313T000000,0,inf,0.0,-6300.0,0.0,0.0,0.0,0.0,0.0
